"C","sigma","Accuracy"
0.001,1e-05,0.5885
0.112,1e-05,0.963809523809524
0.223,1e-05,1
0.334,1e-05,0.999166666666667
0.445,1e-05,0.996785714285714
0.556,1e-05,0.993571428571429
0.667,1e-05,0.987928571428571
0.778,1e-05,0.989642857142857
0.889,1e-05,0.985785714285714
1,1e-05,0.984238095238095
0.001,1.87381742286038e-05,0.5885
0.112,1.87381742286038e-05,1
0.223,1.87381742286038e-05,0.9975
0.334,1.87381742286038e-05,0.992690476190476
0.445,1.87381742286038e-05,0.985071428571429
0.556,1.87381742286038e-05,0.985238095238095
0.667,1.87381742286038e-05,0.978833333333333
0.778,1.87381742286038e-05,0.982404761904762
0.889,1.87381742286038e-05,0.983476190476191
1,1.87381742286038e-05,0.984071428571429
0.001,3.51119173421513e-05,0.5885
0.112,3.51119173421513e-05,0.998452380952381
0.223,3.51119173421513e-05,0.986380952380952
0.334,3.51119173421513e-05,0.97847619047619
0.445,3.51119173421513e-05,0.978595238095238
0.556,3.51119173421513e-05,0.97997619047619
0.667,3.51119173421513e-05,0.98252380952381
0.778,3.51119173421513e-05,0.982119047619048
0.889,3.51119173421513e-05,0.98197619047619
1,3.51119173421513e-05,0.980857142857143
0.001,6.57933224657568e-05,0.5885
0.112,6.57933224657568e-05,0.990309523809524
0.223,6.57933224657568e-05,0.980857142857143
0.334,6.57933224657568e-05,0.985547619047619
0.445,6.57933224657568e-05,0.983952380952381
0.556,6.57933224657568e-05,0.986452380952381
0.667,6.57933224657568e-05,0.98102380952381
0.778,6.57933224657568e-05,0.985619047619048
0.889,6.57933224657568e-05,0.983357142857143
1,6.57933224657568e-05,0.983571428571429
0.001,0.000123284673944207,0.5885
0.112,0.000123284673944207,0.982404761904762
0.223,0.000123284673944207,0.98252380952381
0.334,0.000123284673944207,0.985619047619048
0.445,0.000123284673944207,0.984666666666667
0.556,0.000123284673944207,0.984071428571429
0.667,0.000123284673944207,0.984952380952381
0.778,0.000123284673944207,0.984119047619048
0.889,0.000123284673944207,0.985666666666667
1,0.000123284673944207,0.985619047619048
0.001,0.000231012970008316,0.5885
0.112,0.000231012970008316,0.984785714285714
0.223,0.000231012970008316,0.982952380952381
0.334,0.000231012970008316,0.983952380952381
0.445,0.000231012970008316,0.987214285714286
0.556,0.000231012970008316,0.984071428571429
0.667,0.000231012970008316,0.988166666666667
0.778,0.000231012970008316,0.984666666666667
0.889,0.000231012970008316,0.987333333333333
1,0.000231012970008316,0.983904761904762
0.001,0.000432876128108306,0.5885
0.112,0.000432876128108306,0.988880952380952
0.223,0.000432876128108306,0.988285714285714
0.334,0.000432876128108306,0.987642857142857
0.445,0.000432876128108306,0.989714285714286
0.556,0.000432876128108306,0.987333333333333
0.667,0.000432876128108306,0.988880952380952
0.778,0.000432876128108306,0.989595238095238
0.889,0.000432876128108306,0.987
1,0.000432876128108306,0.985214285714286
0.001,0.000811130830789687,0.705309523809524
0.112,0.000811130830789687,0.992690476190476
0.223,0.000811130830789687,0.991857142857143
0.334,0.000811130830789687,0.992142857142857
0.445,0.000811130830789687,0.990738095238095
0.556,0.000811130830789687,0.993642857142857
0.667,0.000811130830789687,0.993523809523809
0.778,0.000811130830789687,0.991690476190476
0.889,0.000811130830789687,0.990428571428571
1,0.000811130830789687,0.992809523809524
0.001,0.00151991108295293,0.995952380952381
0.112,0.00151991108295293,0.99702380952381
0.223,0.00151991108295293,0.99702380952381
0.334,0.00151991108295293,0.998452380952381
0.445,0.00151991108295293,0.997619047619048
0.556,0.00151991108295293,0.996904761904762
0.667,0.00151991108295293,0.997619047619048
0.778,0.00151991108295293,0.996190476190476
0.889,0.00151991108295293,1
1,0.00151991108295293,1
0.001,0.0028480358684358,1
0.112,0.0028480358684358,1
0.223,0.0028480358684358,1
0.334,0.0028480358684358,1
0.445,0.0028480358684358,1
0.556,0.0028480358684358,1
0.667,0.0028480358684358,1
0.778,0.0028480358684358,1
0.889,0.0028480358684358,1
1,0.0028480358684358,1
0.001,0.00533669923120631,0.995190476190476
0.112,0.00533669923120631,0.995619047619048
0.223,0.00533669923120631,0.996452380952381
0.334,0.00533669923120631,0.995619047619048
0.445,0.00533669923120631,0.999
0.556,0.00533669923120631,0.999
0.667,0.00533669923120631,1
0.778,0.00533669923120631,1
0.889,0.00533669923120631,0.999
1,0.00533669923120631,1
0.001,0.01,0.969333333333333
0.112,0.01,0.955619047619048
0.223,0.01,0.955452380952381
0.334,0.01,0.985809523809524
0.445,0.01,0.995619047619048
0.556,0.01,0.995619047619048
0.667,0.01,0.996452380952381
0.778,0.01,0.996452380952381
0.889,0.01,0.997166666666667
1,0.01,0.997166666666667
