"accuracy","eta","layers"
0.975396825396825,0.01,"5"
0.980952380952381,0.01,"10"
0.980952380952381,0.01,"15"
0.982539682539682,0.01,"20"
0.977777777777778,0.01,"25"
0.815873015873016,0.01,"2,2"
0.851587301587302,0.01,"3,3"
0.895238095238095,0.01,"3,4"
0.886507936507936,0.01,"4,3"
0.923809523809524,0.01,"4,4"
0.980952380952381,0.02,"5"
0.984126984126984,0.02,"10"
0.981746031746032,0.02,"15"
0.98015873015873,0.02,"20"
0.986507936507937,0.02,"25"
0.792063492063492,0.02,"2,2"
0.91031746031746,0.02,"3,3"
0.907936507936508,0.02,"3,4"
0.920634920634921,0.02,"4,3"
0.928571428571429,0.02,"4,4"
0.976190476190476,0.03,"5"
0.984126984126984,0.03,"10"
0.984920634920635,0.03,"15"
0.979365079365079,0.03,"20"
0.986507936507937,0.03,"25"
0.796031746031746,0.03,"2,2"
0.873015873015873,0.03,"3,3"
0.928571428571429,0.03,"3,4"
0.93968253968254,0.03,"4,3"
0.93015873015873,0.03,"4,4"
0.967460317460317,0.04,"5"
0.986507936507937,0.04,"10"
0.981746031746032,0.04,"15"
0.98968253968254,0.04,"20"
0.985714285714286,0.04,"25"
0.79047619047619,0.04,"2,2"
0.865079365079365,0.04,"3,3"
0.907142857142857,0.04,"3,4"
0.9,0.04,"4,3"
0.93968253968254,0.04,"4,4"
0.976984126984127,0.05,"5"
0.988095238095238,0.05,"10"
0.991269841269841,0.05,"15"
0.985714285714286,0.05,"20"
0.986507936507937,0.05,"25"
0.763492063492063,0.05,"2,2"
0.852380952380952,0.05,"3,3"
0.873809523809524,0.05,"3,4"
0.864285714285714,0.05,"4,3"
0.918253968253968,0.05,"4,4"
0.963492063492064,0.06,"5"
0.983333333333333,0.06,"10"
0.991269841269841,0.06,"15"
0.988888888888889,0.06,"20"
0.984126984126984,0.06,"25"
0.726984126984127,0.06,"2,2"
0.799206349206349,0.06,"3,3"
0.842857142857143,0.06,"3,4"
0.858730158730159,0.06,"4,3"
0.848412698412698,0.06,"4,4"
0.948412698412698,0.07,"5"
0.988888888888889,0.07,"10"
0.995238095238095,0.07,"15"
0.988888888888889,0.07,"20"
0.988095238095238,0.07,"25"
0.68015873015873,0.07,"2,2"
0.741269841269841,0.07,"3,3"
0.778571428571429,0.07,"3,4"
0.800793650793651,0.07,"4,3"
0.83015873015873,0.07,"4,4"
0.93968253968254,0.08,"5"
0.984920634920635,0.08,"10"
0.987301587301587,0.08,"15"
0.991269841269841,0.08,"20"
0.982539682539682,0.08,"25"
0.645238095238095,0.08,"2,2"
0.726190476190476,0.08,"3,3"
0.731746031746032,0.08,"3,4"
0.750793650793651,0.08,"4,3"
0.788095238095238,0.08,"4,4"
0.888888888888889,0.09,"5"
0.973809523809524,0.09,"10"
0.969047619047619,0.09,"15"
0.979365079365079,0.09,"20"
0.98015873015873,0.09,"25"
0.58968253968254,0.09,"2,2"
0.699206349206349,0.09,"3,3"
0.683333333333333,0.09,"3,4"
0.757142857142857,0.09,"4,3"
0.725396825396825,0.09,"4,4"
0.78968253968254,0.1,"5"
0.929365079365079,0.1,"10"
0.946031746031746,0.1,"15"
0.95952380952381,0.1,"20"
0.962698412698413,0.1,"25"
0.618253968253968,0.1,"2,2"
0.636507936507936,0.1,"3,3"
0.61984126984127,0.1,"3,4"
0.643650793650794,0.1,"4,3"
0.661904761904762,0.1,"4,4"
